semantic_id,native_symbol,go_equivalent,rust_api_plan,phase,disposition,prerequisites,adaptation,baseline_evidence,rust_test_id,status
native:C:global:rados_application_metadata_get:8b84f0cc8995,rados_application_metadata_get,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_metadata_get:8b84f0cc8995,implemented-r12
native:C:global:rados_application_metadata_list:115c7be10411,rados_application_metadata_list,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_metadata_list:115c7be10411,implemented-r12
native:C:global:rados_application_metadata_remove:14939b6c7251,rados_application_metadata_remove,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_metadata_remove:14939b6c7251,implemented-r12
native:C:global:rados_application_metadata_set:b82d8fa00cff,rados_application_metadata_set,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_metadata_set:b82d8fa00cff,implemented-r12
native:C:global:rados_blacklist_add:08c94b43d74a,rados_blacklist_add,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"No deprecated compatibility alias in the initial Go API; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; inventory review; no runtime conformance claim,R12:native:C:global:rados_blacklist_add:08c94b43d74a,intentional-omission-r12
native:C:global:rados_blocklist_add:b84597ee88b6,rados_blocklist_add,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_blocklist_add:b84597ee88b6,implemented-r12
native:C:global:rados_break_lock:3e00b4b56425,rados_break_lock,rados lock methods,Rust equivalent of rados lock methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live lock interoperability tests,R10:native:C:global:rados_break_lock:3e00b4b56425,implemented-r10
native:C:global:rados_buffer_free:02f1497ee27d,rados_buffer_free,automatic Go memory ownership,Rust equivalent of automatic Go memory ownership; exact signature frozen in R02/owning phase,R02,port-behavior,none,"No public deallocator; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; ownership and leak tests,R02:native:C:global:rados_buffer_free:02f1497ee27d,implemented-r02
native:C:global:rados_cache_pin:9dc39aa7f4a1,rados_cache_pin,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R12,inherit-native-disposition,completion of prior phases; see SPEC.md,"Outside the v1 scope defined by SPEC.md; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; future explicit qualification,R12:native:C:global:rados_cache_pin:9dc39aa7f4a1,deferred-r12
native:C:global:rados_cache_unpin:483e9c0c567c,rados_cache_unpin,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R12,inherit-native-disposition,completion of prior phases; see SPEC.md,"Outside the v1 scope defined by SPEC.md; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; future explicit qualification,R12:native:C:global:rados_cache_unpin:483e9c0c567c,deferred-r12
native:C:global:rados_cct:6217d135f546,rados_cct,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R02,port-behavior,none,"No native configuration or cluster handle exists; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P01 dependency and cgo audit,R02:native:C:global:rados_cct:6217d135f546,implemented-r02
native:C:global:rados_checksum:9990ebf1196c,rados_checksum,rados specialized object methods,Rust equivalent of rados specialized object methods; exact signature frozen in R02/owning phase,R11,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned inputs and results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P10 unit and live specialized object interoperability tests,R11:native:C:global:rados_checksum:9990ebf1196c,implemented-r11
native:C:global:rados_cluster_fsid:22073eef6bd7,rados_cluster_fsid,rados.Client pool/map discovery methods,Rust equivalent of rados.Client pool/map discovery methods; exact signature frozen in R02/owning phase,R05,port-behavior,completion of prior phases; see SPEC.md,"Context-aware discovery returns Go-owned values and immutable pool views; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P04 unit and live discovery tests,R05:native:C:global:rados_cluster_fsid:22073eef6bd7,planned-not-implemented
native:C:global:rados_cluster_stat:2ff68bc297b4,rados_cluster_stat,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_cluster_stat:2ff68bc297b4,implemented-r12
native:C:global:rados_cmpext:0d4cbce6993d,rados_cmpext,rados.ReadOp / rados.WriteOp,Rust equivalent of rados.ReadOp / rados.WriteOp; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_cmpext:0d4cbce6993d,implemented-r09
