language,owner,source_symbol,source_signature,go_equivalent,disposition,phase,prerequisites,semantic_difference,conformance_test
C,global,rados_aio_is_complete_and_cb,CEPH_RADOS_API int rados_aio_is_complete_and_cb(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_is_safe,CEPH_RADOS_API int rados_aio_is_safe(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_is_safe_and_cb,CEPH_RADOS_API int rados_aio_is_safe_and_cb(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_notify,"CEPH_RADOS_API int rados_aio_notify(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *buf, int buf_len, uint64_t timeout_ms, char **reply_buffer, size_t *reply_buffer_len);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_aio_read,"CEPH_RADOS_API int rados_aio_read(rados_ioctx_t io, const char *oid, rados_completion_t completion, char *buf, size_t len, uint64_t off);",rados.ObjectRef.Read / rados.ObjectRef.Stat,go-native,P06,completion of prior phases; see SPEC.md,Context-aware methods and Go-owned results replace native completion and output buffers,"P06 context, ownership, and live read/stat tests"
C,global,rados_aio_read_op_operate,"CEPH_RADOS_API int rados_aio_read_op_operate(rados_read_op_t read_op, rados_ioctx_t io, rados_completion_t completion, const char *oid, int flags);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_release,CEPH_RADOS_API void rados_aio_release(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_remove,"CEPH_RADOS_API int rados_aio_remove(rados_ioctx_t io, const char *oid, rados_completion_t completion);",rados.ObjectRef mutation methods,go-native,P07,completion of prior phases; see SPEC.md,Context-aware methods and OpResult replace native completion and callback forms,"P07 context, result, and live mutation tests"
C,global,rados_aio_rmxattr,"CEPH_RADOS_API int rados_aio_rmxattr(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *name);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_setxattr,"CEPH_RADOS_API int rados_aio_setxattr(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *name, const char *buf, size_t len);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_stat,"CEPH_RADOS_API int rados_aio_stat(rados_ioctx_t io, const char *o, rados_completion_t completion, uint64_t *psize, time_t *pmtime);",rados.ObjectRef.Read / rados.ObjectRef.Stat,go-native,P06,completion of prior phases; see SPEC.md,Context-aware methods and Go-owned results replace native completion and output buffers,"P06 context, ownership, and live read/stat tests"
C,global,rados_aio_stat2,"CEPH_RADOS_API int rados_aio_stat2(rados_ioctx_t io, const char *o, rados_completion_t completion, uint64_t *psize, struct timespec *pmtime);",rados.ObjectRef.Read / rados.ObjectRef.Stat,go-native,P06,completion of prior phases; see SPEC.md,Context-aware methods and Go-owned results replace native completion and output buffers,"P06 context, ownership, and live read/stat tests"
C,global,rados_aio_unlock,"CEPH_RADOS_API int rados_aio_unlock(rados_ioctx_t io, const char *o, const char *name, const char *cookie, rados_completion_t completion);",rados lock methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live lock interoperability tests
C,global,rados_aio_unwatch,"CEPH_RADOS_API int rados_aio_unwatch(rados_ioctx_t io, uint64_t cookie, rados_completion_t completion);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_aio_wait_for_complete,CEPH_RADOS_API int rados_aio_wait_for_complete(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_wait_for_complete_and_cb,CEPH_RADOS_API int rados_aio_wait_for_complete_and_cb(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_wait_for_safe,CEPH_RADOS_API int rados_aio_wait_for_safe(rados_completion_t c) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_aio_wait_for_safe_and_cb,CEPH_RADOS_API int rados_aio_wait_for_safe_and_cb(rados_completion_t c) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_aio_watch,"CEPH_RADOS_API int rados_aio_watch(rados_ioctx_t io, const char *o, rados_completion_t completion, uint64_t *handle, rados_watchcb2_t watchcb, rados_watcherrcb_t watcherrcb, void *arg);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_aio_watch2,"CEPH_RADOS_API int rados_aio_watch2(rados_ioctx_t io, const char *o, rados_completion_t completion, uint64_t *handle, rados_watchcb2_t watchcb, rados_watcherrcb_t watcherrcb, uint32_t timeout, void *arg);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_aio_watch_flush,"CEPH_RADOS_API int rados_aio_watch_flush(rados_t cluster, rados_completion_t completion);",rados.Watch and notify methods,go-native,P09,completion of prior phases; see SPEC.md,Watch draining and notify reply memory ownership are integrated into Go lifecycle and result semantics,P09 unit and live watch/notify interoperability tests
C,global,rados_aio_write,"CEPH_RADOS_API int rados_aio_write(rados_ioctx_t io, const char *oid, rados_completion_t completion, const char *buf, size_t len, uint64_t off);",rados.ObjectRef mutation methods,go-native,P07,completion of prior phases; see SPEC.md,Context-aware methods and OpResult replace native completion and callback forms,"P07 context, result, and live mutation tests"
C,global,rados_aio_write_full,"CEPH_RADOS_API int rados_aio_write_full(rados_ioctx_t io, const char *oid, rados_completion_t completion, const char *buf, size_t len);",rados.ObjectRef mutation methods,go-native,P07,completion of prior phases; see SPEC.md,Context-aware methods and OpResult replace native completion and callback forms,"P07 context, result, and live mutation tests"
C,global,rados_aio_write_op_operate,"CEPH_RADOS_API int rados_aio_write_op_operate(rados_write_op_t write_op, rados_ioctx_t io, rados_completion_t completion, const char *oid, time_t *mtime, int flags);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_write_op_operate2,"CEPH_RADOS_API int rados_aio_write_op_operate2(rados_write_op_t write_op, rados_ioctx_t io, rados_completion_t completion, const char *oid, struct timespec *mtime, int flags);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_writesame,"CEPH_RADOS_API int rados_aio_writesame(rados_ioctx_t io, const char *oid, rados_completion_t completion, const char *buf, size_t data_len, size_t write_len, uint64_t off);",rados specialized object methods,go-native,P10,completion of prior phases; see SPEC.md,Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes,"P10 context, ownership, and live specialized object tests"
C,global,rados_append,"CEPH_RADOS_API int rados_append(rados_ioctx_t io, const char *oid, const char *buf, size_t len);",rados.ObjectRef.Append,implemented,P07,replicated pools on certified Ceph 20.2.4,Returns OpResult version; ambiguity is surfaced as outcome unknown,P07 native/Go CRUD and primary-remap append-once tests
C,global,rados_application_enable,"CEPH_RADOS_API int rados_application_enable(rados_ioctx_t io, const char *app_name, int force);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_application_list,"CEPH_RADOS_API int rados_application_list(rados_ioctx_t io, char *values, size_t *values_len);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_application_metadata_get,"CEPH_RADOS_API int rados_application_metadata_get(rados_ioctx_t io, const char *app_name, const char *key, char *value, size_t *value_len);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_application_metadata_list,"CEPH_RADOS_API int rados_application_metadata_list(rados_ioctx_t io, const char *app_name, char *keys, size_t *key_len, char *values, size_t *vals_len);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_application_metadata_remove,"CEPH_RADOS_API int rados_application_metadata_remove(rados_ioctx_t io, const char *app_name, const char *key);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_application_metadata_set,"CEPH_RADOS_API int rados_application_metadata_set(rados_ioctx_t io, const char *app_name, const char *key, const char *value);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_blacklist_add,"CEPH_RADOS_API int rados_blacklist_add(rados_t cluster, char *client_address, uint32_t expire_seconds) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_blocklist_add,"CEPH_RADOS_API int rados_blocklist_add(rados_t cluster, char *client_address, uint32_t expire_seconds);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_break_lock,"CEPH_RADOS_API int rados_break_lock(rados_ioctx_t io, const char *o, const char *name, const char *client, const char *cookie);",rados lock methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live lock interoperability tests
C,global,rados_buffer_free,CEPH_RADOS_API void rados_buffer_free(char *buf);,automatic Go memory ownership,go-native,P01,none,No public deallocator,ownership and leak tests
C,global,rados_cache_pin,"CEPH_RADOS_API int rados_cache_pin(rados_ioctx_t io, const char *o);",none,deferred: legacy cache tier or service/log subscription API,P13,completion of prior phases; see SPEC.md,Outside the v1 scope defined by SPEC.md,future explicit qualification
C,global,rados_cache_unpin,"CEPH_RADOS_API int rados_cache_unpin(rados_ioctx_t io, const char *o);",none,deferred: legacy cache tier or service/log subscription API,P13,completion of prior phases; see SPEC.md,Outside the v1 scope defined by SPEC.md,future explicit qualification
C,global,rados_cct,CEPH_RADOS_API rados_config_t rados_cct(rados_t cluster);,none,intentional-omission: native handle access violates pure-Go boundary,P01,none,No native configuration or cluster handle exists,P01 dependency and cgo audit
C,global,rados_checksum,"CEPH_RADOS_API int rados_checksum(rados_ioctx_t io, const char *oid, rados_checksum_type_t type, const char *init_value, size_t init_value_len, size_t len, uint64_t off, size_t chunk_size, char *pchecksum, size_t checksum_len);",rados specialized object methods,implemented,P10,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned inputs and results,P10 unit and live specialized object interoperability tests
C,global,rados_cluster_fsid,"CEPH_RADOS_API int rados_cluster_fsid(rados_t cluster, char *buf, size_t len);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_cluster_stat,"CEPH_RADOS_API int rados_cluster_stat(rados_t cluster, struct rados_cluster_stat_t *result);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_cmpext,"CEPH_RADOS_API int rados_cmpext(rados_ioctx_t io, const char *o, const char *cmp_buf, size_t cmp_len, uint64_t off);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_conf_get,"CEPH_RADOS_API int rados_conf_get(rados_t cluster, const char *option, char *buf, size_t len);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_conf_parse_argv,"CEPH_RADOS_API int rados_conf_parse_argv(rados_t cluster, int argc, const char **argv);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_conf_parse_argv_remainder,"CEPH_RADOS_API int rados_conf_parse_argv_remainder(rados_t cluster, int argc, const char **argv, const char **remargv);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_conf_parse_env,"CEPH_RADOS_API int rados_conf_parse_env(rados_t cluster, const char *var);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_conf_read_file,"CEPH_RADOS_API int rados_conf_read_file(rados_t cluster, const char *path);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_conf_set,"CEPH_RADOS_API int rados_conf_set(rados_t cluster, const char *option, const char *value);",rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_connect,CEPH_RADOS_API int rados_connect(rados_t cluster);,rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_create,"CEPH_RADOS_API int rados_create(rados_t *cluster, const char * const id);",rados.New,go-native,P01/P04,completion of prior phases; see SPEC.md,"Go construction combines native allocation, initialization, and ownership",P01 lifecycle and P04 configuration tests
C,global,rados_create2,"CEPH_RADOS_API int rados_create2(rados_t *pcluster, const char *const clustername, const char * const name, uint64_t flags);",rados.New,go-native,P01/P04,completion of prior phases; see SPEC.md,"Go construction combines native allocation, initialization, and ownership",P01 lifecycle and P04 configuration tests
C,global,rados_create_read_op,CEPH_RADOS_API rados_read_op_t rados_create_read_op(void);,rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_create_with_context,"CEPH_RADOS_API int rados_create_with_context(rados_t *cluster, rados_config_t cct);",rados.New,go-native,P01/P04,completion of prior phases; see SPEC.md,"Go construction combines native allocation, initialization, and ownership",P01 lifecycle and P04 configuration tests
C,global,rados_create_write_op,CEPH_RADOS_API rados_write_op_t rados_create_write_op(void);,rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_decode_notify_response,"CEPH_RADOS_API int rados_decode_notify_response(char *reply_buffer, size_t reply_buffer_len, struct notify_ack_t **acks, size_t *nr_acks, struct notify_timeout_t **timeouts, size_t *nr_timeouts);",rados.Watch and notify methods,go-native,P09,completion of prior phases; see SPEC.md,Watch draining and notify reply memory ownership are integrated into Go lifecycle and result semantics,P09 unit and live watch/notify interoperability tests
C,global,rados_exec,"CEPH_RADOS_API int rados_exec(rados_ioctx_t io, const char *oid, const char *cls, const char *method, const char *in_buf, size_t in_len, char *buf, size_t out_len);",rados class execution methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live class/lock/watch interoperability tests
C,global,rados_free_notify_response,"CEPH_RADOS_API void rados_free_notify_response(struct notify_ack_t *acks, size_t nr_acks, struct notify_timeout_t *timeouts);",rados.Watch and notify methods,go-native,P09,completion of prior phases; see SPEC.md,Watch draining and notify reply memory ownership are integrated into Go lifecycle and result semantics,P09 unit and live watch/notify interoperability tests
C,global,rados_get_instance_id,CEPH_RADOS_API uint64_t rados_get_instance_id(rados_t cluster);,rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_get_last_version,CEPH_RADOS_API uint64_t rados_get_last_version(rados_ioctx_t io);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_get_min_compatible_client,"CEPH_RADOS_API int rados_get_min_compatible_client(rados_t cluster, int8_t* min_compat_client, int8_t* require_min_compat_client);",none,intentional-omission: discovery diagnostic absent from frozen v1 contract,P04,completion of prior phases; see SPEC.md,No distinct v1 behavior requires this native diagnostic or explicit map wait,P04 API inventory review; no runtime conformance claim
C,global,rados_get_min_compatible_osd,"CEPH_RADOS_API int rados_get_min_compatible_osd(rados_t cluster, int8_t* require_osd_release);",none,intentional-omission: discovery diagnostic absent from frozen v1 contract,P04,completion of prior phases; see SPEC.md,No distinct v1 behavior requires this native diagnostic or explicit map wait,P04 API inventory review; no runtime conformance claim
C,global,rados_getaddrs,"CEPH_RADOS_API int rados_getaddrs(rados_t cluster, char** addrs);",rados.Client session addresses,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_getxattr,"CEPH_RADOS_API int rados_getxattr(rados_ioctx_t io, const char *o, const char *name, char *buf, size_t len);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_getxattrs,"CEPH_RADOS_API int rados_getxattrs(rados_ioctx_t io, const char *oid, rados_xattrs_iter_t *iter);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_getxattrs_end,CEPH_RADOS_API void rados_getxattrs_end(rados_xattrs_iter_t iter);,rados metadata methods / operation builders,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_getxattrs_next,"CEPH_RADOS_API int rados_getxattrs_next(rados_xattrs_iter_t iter, const char **name, const char **val, size_t *len);",rados metadata methods / operation builders,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_inconsistent_pg_list,"CEPH_RADOS_API int rados_inconsistent_pg_list(rados_t cluster, int64_t pool, char *buf, size_t len);",rados.Client administrative consistency methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_ioctx_cct,CEPH_RADOS_API rados_config_t rados_ioctx_cct(rados_ioctx_t io);,none,intentional-omission: native handle access violates pure-Go boundary,P01,none,No native configuration or cluster handle exists,P01 dependency and cgo audit
C,global,rados_ioctx_create,"CEPH_RADOS_API int rados_ioctx_create(rados_t cluster, const char *pool_name, rados_ioctx_t *ioctx);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_ioctx_create2,"CEPH_RADOS_API int rados_ioctx_create2(rados_t cluster, int64_t pool_id, rados_ioctx_t *ioctx);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_ioctx_destroy,CEPH_RADOS_API void rados_ioctx_destroy(rados_ioctx_t io);,automatic Go memory ownership,go-native,P01,none,No public deallocator,ownership and leak tests
C,global,rados_ioctx_get_cluster,CEPH_RADOS_API rados_t rados_ioctx_get_cluster(rados_ioctx_t io);,none,intentional-omission: native handle access violates pure-Go boundary,P01,none,No native configuration or cluster handle exists,P01 dependency and cgo audit
C,global,rados_ioctx_get_id,CEPH_RADOS_API int64_t rados_ioctx_get_id(rados_ioctx_t io);,rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_ioctx_get_namespace,"CEPH_RADOS_API int rados_ioctx_get_namespace(rados_ioctx_t io, char *buf, unsigned maxlen);",rados.Pool.WithNamespace / rados.Pool.WithLocator,implemented,P05,completion of prior phases; see SPEC.md,Immutable pool views replace mutable ioctx namespace and locator state,P05 unit and live placement tests
